PLANO,MES,ANO,1.00.00.00.00.00.00.00,2.01.00.00.00.00.00.00,2.02.00.00.00.00.00.00,2.03.00.00.00.00.00.00,2.03.01.00.00.00.00.00,2.03.01.01.00.00.00.00,2.03.01.01.01.00.00.00,2.03.01.01.01.01.00.00,2.03.01.01.01.02.00.00,2.03.01.01.02.00.00.00,2.03.01.01.02.01.00.00,2.03.01.01.02.02.00.00,2.03.01.01.02.03.00.00,2.03.01.01.03.00.00.00,2.03.02.01.00.00.00.00,3.01.00.00.00.00.00.00,3.02.00.00.00.00.00.00,3.05.00.00.00.00.00.00,solvencia_seca,solvencia_gerencial,solvencia_liquida,resultado_operacional,maturiade_atuarial,solvencia_financeira,risco_legal,provisoes_cd,passivo_integralizar,provisoes_bd,resultado,prov_concedidos_cd,prov_conceder_cd,prov_concedidos_bd,prov_conceder_bd,COMPETENCIA
CONAB,1,2022,20485287.28,626005.61,1263948.13,18595333.54,18079810.19,19228368.36,17842931.0,0.0,17842931.0,3551170.0,0.0,3551170.0,0.0,2165732.64,253242.21,115836.27,94046.99,44394.24,0.9534377570037359,0.94026751784154,0.8276353589681283,1.2316850331945763,0.19902391596985944,1.7037282107593237,0.06797125350191487,0.0,0.11263215887341156,0.8873678411265884,-1148558.169999998,0.0,0.0,17842931.0,3551170.0,2022-01-01
CONAB,1,2023,21020315.84,654368.07,1263948.13,19101999.64,18548129.94,18630976.08,17772434.0,0.0,17772434.0,3001909.0,0.0,3001909.0,0.0,2143366.92,267795.35,124135.75,140144.35,59017.22,1.0099269737240737,0.9955533118799433,0.8805101219366711,0.8857706357766117,0.16890815292941866,1.3068880051175804,0.06616836738669313,0.0,0.11504318994327216,0.8849568100567279,-82846.13999999687,0.0,0.0,17772434.0,3001909.0,2023-01-01
CONAB,2,2022,20620908.62,679192.57,1263948.13,18677767.92,18157058.96,19198460.99,18113103.0,0.0,18113103.0,3297341.0,0.0,3297341.0,0.0,2211983.01,255774.65,240351.39,251286.56,156899.9,0.9590786271665623,0.9457559629106501,0.8305392790758278,0.9564832675492076,0.18204175176390264,1.5808696254984749,0.0676712621879499,0.0,0.11521668383482232,0.8847833161651777,-1041402.0299999975,0.0,0.0,18113103.0,3297341.0,2022-02-01
CONAB,2,2023,21031332.48,666314.5,1263948.13,19101069.85,18544455.82,18706068.29,17840963.0,0.0,17840963.0,3015670.0,0.0,3015670.0,0.0,2150564.71,269767.2,230303.77,279276.44,90279.02,1.0057817991639546,0.99136042553173,0.8763942724812965,0.8246444633854542,0.16903067396081703,1.1479048859259304,0.06617158828933342,0.0,0.11496615305043345,0.8850338469495665,-161612.4699999988,0.0,0.0,17840963.0,3015670.0,2023-02-01
CONAB,3,2022,20926684.94,619175.43,1263948.13,19043561.38,18514494.78,19544350.3,18410270.0,0.0,18410270.0,3340349.0,0.0,3340349.0,0.0,2206268.7,260148.39,439871.18,370357.95,438261.06,0.9606174102395207,0.9473067406083077,0.8344214992912812,1.1876920152517314,0.1814394357062661,2.3710365607110635,0.06637141576509047,0.0,0.11288524131702654,0.8871147586829735,-1029855.5199999996,0.0,0.0,18410270.0,3340349.0,2022-03-01
CONAB,3,2023,21185042.65,679905.43,1263948.13,19241189.09,18680107.18,18779291.44,17877497.0,0.0,17877497.0,3056518.0,0.0,3056518.0,0.0,2154723.56,271493.67,362459.66,419425.65,235650.17,1.0091755011391421,0.9947184237319658,0.8799790808294734,0.8641809579361681,0.17097013077389972,1.4260211076742682,0.06568970992842106,0.0,0.11473934290249238,0.8852606570975077,-99184.26000000164,0.0,0.0,17877497.0,3056518.0,2023-03-01
CONAB,4,2022,21063076.01,627304.25,1263948.13,19171823.63,18636153.67,19855728.3,18619754.0,0.0,18619754.0,3428234.0,0.0,3428234.0,0.0,2192259.7,262853.94,638928.54,497474.6,490684.79,0.9518163889259103,0.9385781971039562,0.828168764275446,1.2843440449019912,0.18411811455726,2.2706954887747037,0.06592738147362145,0.0,0.11040943282851025,0.8895905671714898,-1219574.629999999,0.0,0.0,18619754.0,3428234.0,2022-04-01
CONAB,4,2023,21318278.22,686500.15,1263948.13,19367829.94,18807119.71,18648374.72,17726745.0,0.0,17726745.0,3077515.0,0.0,3077515.0,0.0,2155885.28,272932.61,486679.87,557757.0,378212.78,1.0231482692986127,1.0085125375472936,0.8929053968516567,0.8725661354317382,0.17360857845024566,1.5506621162979577,0.06526018319634212,0.0,0.11560714069563699,0.8843928593043631,158744.9900000021,0.0,0.0,17726745.0,3077515.0,2023-04-01
CONAB,5,2022,21395228.27,778270.56,1263948.13,19353009.58,18812998.51,19860434.04,18629841.0,0.0,18629841.0,3453000.0,0.0,3453000.0,0.0,2222406.96,264036.8,793450.64,673337.79,690053.58,0.9605548031617945,0.9472601893850655,0.8353589612687036,1.1783842401003515,0.1853477976543117,2.2032095064796526,0.06531015885540631,0.0,0.11190122811636195,0.8880987718836381,-1047435.5299999975,0.0,0.0,18629841.0,3453000.0,2022-05-01
CONAB,5,2023,21545104.53,686024.29,1263948.13,19595132.11,19031979.89,18490907.49,17523250.0,0.0,17523250.0,3120949.0,0.0,3120949.0,0.0,2153291.51,273915.17,625815.39,701278.27,608441.27,1.0440750444747373,1.0292615384232828,0.9128101684099661,0.8923923879746053,0.17810331987502317,1.7600098460201827,0.06450316960889323,0.0,0.11645137001331675,0.8835486299866833,541072.4000000022,0.0,0.0,17523250.0,3120949.0,2023-05-01
