PLANO,COMPETENCIA,rent_perc,taxa_juros,Mês,Variável,Valor,meta_atuarial
CONAB,2021-06-01,1.678406715312378,4.1,junho 2021,INPC - Variação mensal,0.6,0.9374219468849532
CONAB,2021-07-01,1.1679021746164617,4.1,julho 2021,INPC - Variação mensal,1.02,1.3588306667427164
CONAB,2021-08-01,1.2863348171675295,4.1,agosto 2021,INPC - Variação mensal,0.88,1.218361093456788
CONAB,2021-09-01,1.395146563621428,4.1,setembro 2021,INPC - Variação mensal,1.2,1.5394344038246244
CONAB,2021-10-01,1.3698638377191814,4.1,outubro 2021,INPC - Variação mensal,1.16,1.4993002400286448
CONAB,2021-11-01,2.237885345406588,4.1,novembro 2021,INPC - Variação mensal,0.84,1.1782269296608083
CONAB,2021-12-01,1.379172248855433,4.1,dezembro 2021,INPC - Variação mensal,0.73,1.0678579792218867
CONAB,2022-01-01,1.0022784322870892,4.0,janeiro 2022,INPC - Variação mensal,0.67,0.9995673838739672
CONAB,2022-02-01,2.3297954422143303,4.0,fevereiro 2022,INPC - Variação mensal,1.0,1.330647718002087
CONAB,2022-03-01,2.5109802943337876,4.0,março 2022,INPC - Variação mensal,1.71,2.04297207324744
CONAB,2022-04-01,1.8980356079556262,4.0,abril 2022,INPC - Variação mensal,1.04,1.3707786675933642
CONAB,2022-05-01,1.833487538066552,4.0,maio 2022,INPC - Variação mensal,0.45,0.778847161121865
CONAB,2022-06-01,1.3246935739616816,4.0,junho 2022,INPC - Variação mensal,0.62,0.949403696884854
CONAB,2022-07-01,0.7353045055971388,4.0,julho 2022,INPC - Variação mensal,-0.6,-0.27459026564943256
CONAB,2022-08-01,1.1959072595434064,4.0,agosto 2022,INPC - Variação mensal,-0.31,0.016359118887421253
CONAB,2022-09-01,0.8830135301834429,4.0,setembro 2022,INPC - Variação mensal,-0.32,0.006326381489585309
CONAB,2022-10-01,1.2625482817377367,4.0,outubro 2022,INPC - Variação mensal,0.47,0.7989126359175147
CONAB,2022-11-01,1.0627665672708484,4.0,novembro 2022,INPC - Variação mensal,0.38,0.7086179993371244
CONAB,2022-12-01,0.752836785364495,4.0,dezembro 2022,INPC - Variação mensal,0.69,1.0196328586695946
CONAB,2023-01-01,1.5776098901098898,4.0,janeiro 2023,INPC - Variação mensal,0.46,0.788879898519701
CONAB,2023-02-01,1.4109509331947412,4.0,fevereiro 2023,INPC - Variação mensal,0.77,1.0998947578521934
CONAB,2023-03-01,2.012122554698242,4.0,março 2023,INPC - Variação mensal,0.64,0.9694691716805037
CONAB,2023-04-01,1.19412900204521,4.0,abril 2023,INPC - Variação mensal,0.53,0.8591090603044638
CONAB,2023-05-01,1.8819331193767517,4.0,maio 2023,INPC - Variação mensal,0.36,0.688552524541497
CONAB,2023-06-01,1.5720588705182892,4.0,junho 2023,INPC - Variação mensal,-0.1,0.22704660424166523
CONAB,2023-09-01,0.3101070126545812,4.0,setembro 2023,INPC - Variação mensal,0.11,0.4377340895959536
CONAB,2023-10-01,0.2883513851122999,4.0,outubro 2023,INPC - Variação mensal,0.12,0.44776682699376735
CONAB,2023-11-01,1.731791389711005,4.0,novembro 2023,INPC - Variação mensal,0.1,0.42770135219809546
CONAB Saldado,2021-06-01,1.8831815053241658,4.1,junho 2021,INPC - Variação mensal,0.6,0.9374219468849532
CONAB Saldado,2021-07-01,1.5552648315886053,4.1,julho 2021,INPC - Variação mensal,1.02,1.3588306667427164
CONAB Saldado,2021-08-01,1.6583199316877486,4.1,agosto 2021,INPC - Variação mensal,0.88,1.218361093456788
CONAB Saldado,2021-09-01,1.8165523020882302,4.1,setembro 2021,INPC - Variação mensal,1.2,1.5394344038246244
CONAB Saldado,2021-10-01,1.7941131769049032,4.1,outubro 2021,INPC - Variação mensal,1.16,1.4993002400286448
CONAB Saldado,2021-11-01,2.1300950660027222,4.1,novembro 2021,INPC - Variação mensal,0.84,1.1782269296608083
CONAB Saldado,2021-12-01,1.6158055323775022,4.1,dezembro 2021,INPC - Variação mensal,0.73,1.0678579792218867
CONAB Saldado,2022-01-01,1.1838049397310857,4.0,janeiro 2022,INPC - Variação mensal,0.67,0.9995673838739672
CONAB Saldado,2022-02-01,2.600299529207136,4.0,fevereiro 2022,INPC - Variação mensal,1.0,1.330647718002087
CONAB Saldado,2022-03-01,2.4721884593242813,4.0,março 2022,INPC - Variação mensal,1.71,2.04297207324744
CONAB Saldado,2022-04-01,1.9763371106177552,4.0,abril 2022,INPC - Variação mensal,1.04,1.3707786675933642
CONAB Saldado,2022-05-01,1.9392533854341754,4.0,maio 2022,INPC - Variação mensal,0.45,0.778847161121865
CONAB Saldado,2022-06-01,1.5213924712292657,4.0,junho 2022,INPC - Variação mensal,0.62,0.949403696884854
CONAB Saldado,2022-07-01,0.839553063371876,4.0,julho 2022,INPC - Variação mensal,-0.6,-0.27459026564943256
CONAB Saldado,2022-08-01,1.1222702183446085,4.0,agosto 2022,INPC - Variação mensal,-0.31,0.016359118887421253
CONAB Saldado,2022-09-01,0.6844175346381027,4.0,setembro 2022,INPC - Variação mensal,-0.32,0.006326381489585309
CONAB Saldado,2022-10-01,1.2027242058252519,4.0,outubro 2022,INPC - Variação mensal,0.47,0.7989126359175147
CONAB Saldado,2022-11-01,1.400299617929073,4.0,novembro 2022,INPC - Variação mensal,0.38,0.7086179993371244
CONAB Saldado,2022-12-01,0.868179983371409,4.0,dezembro 2022,INPC - Variação mensal,0.69,1.0196328586695946
CONAB Saldado,2023-01-01,1.8806632827624865,4.0,janeiro 2023,INPC - Variação mensal,0.46,0.788879898519701
CONAB Saldado,2023-02-01,1.4199433166101414,4.0,fevereiro 2023,INPC - Variação mensal,0.77,1.0998947578521934
CONAB Saldado,2023-03-01,1.849898479145824,4.0,março 2023,INPC - Variação mensal,0.64,0.9694691716805037
CONAB Saldado,2023-04-01,1.1021718399247211,4.0,abril 2023,INPC - Variação mensal,0.53,0.8591090603044638
CONAB Saldado,2023-05-01,1.6187631795621313,4.0,maio 2023,INPC - Variação mensal,0.36,0.688552524541497
CONAB Saldado,2023-06-01,1.2768296694055596,4.0,junho 2023,INPC - Variação mensal,-0.1,0.22704660424166523
CONAB Saldado,2023-09-01,0.46858533125059815,4.0,setembro 2023,INPC - Variação mensal,0.11,0.4377340895959536
CONAB Saldado,2023-10-01,0.5112230406404169,4.0,outubro 2023,INPC - Variação mensal,0.12,0.44776682699376735
CONAB Saldado,2023-11-01,1.4458250056513209,4.0,novembro 2023,INPC - Variação mensal,0.1,0.42770135219809546
ConabPrev Consolidado,2021-06-01,1.7056169231036884,4.1,junho 2021,INPC - Variação mensal,0.6,0.9374219468849532
ConabPrev Consolidado,2021-07-01,1.5587911247125326,4.1,julho 2021,INPC - Variação mensal,1.02,1.3588306667427164
ConabPrev Consolidado,2021-08-01,1.44097544807889,4.1,agosto 2021,INPC - Variação mensal,0.88,1.218361093456788
ConabPrev Consolidado,2021-09-01,1.7784929341803133,4.1,setembro 2021,INPC - Variação mensal,1.2,1.5394344038246244
ConabPrev Consolidado,2021-10-01,2.027388911166645,4.1,outubro 2021,INPC - Variação mensal,1.16,1.4993002400286448
ConabPrev Consolidado,2021-11-01,2.220355316368047,4.1,novembro 2021,INPC - Variação mensal,0.84,1.1782269296608083
ConabPrev Consolidado,2021-12-01,1.5860961813979102,4.1,dezembro 2021,INPC - Variação mensal,0.73,1.0678579792218867
ConabPrev Consolidado,2022-01-01,1.1605293643595975,4.0,janeiro 2022,INPC - Variação mensal,0.67,0.9995673838739672
ConabPrev Consolidado,2022-02-01,2.2880606050785284,4.0,fevereiro 2022,INPC - Variação mensal,1.0,1.330647718002087
ConabPrev Consolidado,2022-03-01,2.767925559932514,4.0,março 2022,INPC - Variação mensal,1.71,2.04297207324744
ConabPrev Consolidado,2022-04-01,2.1557087031248807,4.0,abril 2022,INPC - Variação mensal,1.04,1.3707786675933642
ConabPrev Consolidado,2022-05-01,1.8322213268906886,4.0,maio 2022,INPC - Variação mensal,0.45,0.778847161121865
ConabPrev Consolidado,2022-06-01,1.8217888666433733,4.0,junho 2022,INPC - Variação mensal,0.62,0.949403696884854
ConabPrev Consolidado,2022-07-01,1.0109717624447396,4.0,julho 2022,INPC - Variação mensal,-0.6,-0.27459026564943256
ConabPrev Consolidado,2022-08-01,1.4691049293978553,4.0,agosto 2022,INPC - Variação mensal,-0.31,0.016359118887421253
ConabPrev Consolidado,2022-09-01,0.8378351442121377,4.0,setembro 2022,INPC - Variação mensal,-0.32,0.006326381489585309
ConabPrev Consolidado,2022-10-01,1.4943023094669767,4.0,outubro 2022,INPC - Variação mensal,0.47,0.7989126359175147
ConabPrev Consolidado,2022-11-01,1.4978196934228534,4.0,novembro 2022,INPC - Variação mensal,0.38,0.7086179993371244
ConabPrev Consolidado,2022-12-01,0.8560513707000209,4.0,dezembro 2022,INPC - Variação mensal,0.69,1.0196328586695946
ConabPrev Consolidado,2023-01-01,1.5138916169499936,4.0,janeiro 2023,INPC - Variação mensal,0.46,0.788879898519701
ConabPrev Consolidado,2023-02-01,1.6255236606091086,4.0,fevereiro 2023,INPC - Variação mensal,0.77,1.0998947578521934
ConabPrev Consolidado,2023-03-01,2.082736281329045,4.0,março 2023,INPC - Variação mensal,0.64,0.9694691716805037
ConabPrev Consolidado,2023-04-01,1.250273582368002,4.0,abril 2023,INPC - Variação mensal,0.53,0.8591090603044638
ConabPrev Consolidado,2023-05-01,2.3476591218557763,4.0,maio 2023,INPC - Variação mensal,0.36,0.688552524541497
ConabPrev Consolidado,2023-06-01,2.0638135508056954,4.0,junho 2023,INPC - Variação mensal,-0.1,0.22704660424166523
ConabPrev Consolidado,2023-09-01,0.3381984780031216,4.0,setembro 2023,INPC - Variação mensal,0.11,0.4377340895959536
